NDB_No	Nutr_No	Flav_Val (mg Per 100g)
9413	738	13.11
9430	734	0
9430	735	0
9430	736	0
9430	737	0
9430	738	0
9442	735	0
9500	734	12.64
9500	735	11.75
9500	736	32.77
9500	737	23.11
9500	738	36.75
9501	734	7.36
9501	735	4.73
9501	736	21.77
9501	737	18.75
9501	738	26.46
9502	734	12.9
9502	735	8.59
9502	736	30.78
9502	737	25.92
9502	738	38.77
9503	734	9.55
9503	735	6.24
9503	736	21.28
9503	737	18.73
9503	738	30.68
9504	734	9.92
9504	735	6.09
9504	736	19.09
9504	737	13.81
9504	738	14.22
11008	734	0
11008	735	0
11008	736	0
11008	737	0
11008	738	0
11012	734	0
11012	735	0
11012	736	0
11012	737	0
11012	738	0
11052	734	0
11052	735	0
11080	734	0
11080	735	0
11080	736	0
11080	737	0
11080	738	0
11088	734	91.81
11088	735	21.73
11090	734	0
11090	735	0
11090	736	0
11090	737	0
11090	738	0
11091	734	0
11091	735	0
11091	736	0
11091	737	0
11091	738	0
11096	734	0
11096	735	0
11096	736	0
11096	737	0
11096	738	0
11097	734	0
11097	735	0
11097	736	0
11097	737	0
11097	738	0
11109	734	0
11109	735	0
11109	736	0
11109	737	0
11109	738	0
11110	734	0
11110	735	0
11110	736	0
11110	737	0
11110	738	0
11112	734	0
11112	735	0
11112	736	0
11112	737	0
11112	738	0
11113	734	0
11113	735	0
11113	736	0
11113	737	0
11113	738	0
11116	734	0
11116	735	0
11116	736	0
11116	737	0
11116	738	0
11124	734	0
11124	735	0
11124	736	0
11124	737	0
11124	738	0
11125	734	0
11125	735	0
11125	736	0
11125	737	0
11125	738	0
11135	734	0
11135	735	0
11135	736	0
11135	737	0
11135	738	0
11141	734	0
11141	735	0
11141	736	0
11141	737	0
11141	738	0
11143	734	0
11143	735	0
11143	736	0
11143	737	0
11143	738	0
11167	734	0
11167	735	0
11167	736	0
11167	737	0
11167	738	0
11205	734	0
11205	735	0
11205	736	0
11205	737	0
11205	738	0
11206	734	0
11206	735	0
11206	736	0
11206	737	0
11206	738	0
11209	734	0
11209	735	0
11209	736	0
11209	737	0
11209	738	0
11215	734	0
11215	735	0
11215	736	0
11215	737	0
11215	738	0
11226	734	0
11226	735	0
11226	736	0
11226	737	0
11226	738	0
11248	734	1.86
11248	735	0
11248	736	0.09
11251	734	0
11251	735	0
11251	736	0
11251	737	0
11251	738	0
11252	734	0
11252	735	0
11252	736	0
11252	737	0
11252	738	0
11253	734	0
11253	735	0
11253	736	0
11253	737	0
11253	738	0
11257	734	0
11257	735	0
11257	736	0
11257	737	0
11257	738	0
11282	734	0
11282	735	0
11282	736	0
11282	737	0
11282	738	0
11283	734	0
11283	735	0
11283	736	0
11283	737	0
11283	738	0
11294	734	0
11294	735	0
11294	736	0
11294	737	0
11294	738	0
11298	734	0
11298	735	0
11298	736	0
11298	737	0
11298	738	0
11304	734	0
11304	735	0
11333	734	0
11333	735	0
11333	736	0
11333	737	0
11333	738	0
11334	734	0
11334	735	0
11334	736	0
11334	737	0
11334	738	0
11353	734	0
11353	735	0
11353	736	0
11353	737	0
11353	738	0
11354	734	0
11354	735	0
11354	736	0
11354	737	0
11354	738	0
11355	734	0
11355	735	0
11355	736	0
11355	737	0
11355	738	0
11356	734	0
11356	735	0
11356	736	0
11356	737	0
11356	738	0
11357	734	0
11357	735	0
11357	736	0
11357	737	0
11357	738	0
11358	734	0
11358	735	0
11358	736	0
11358	737	0
11358	738	0
11365	734	0
11365	735	0
11365	736	0
11365	737	0
11365	738	0
11367	734	0
11367	735	0
11367	736	0
11367	737	0
11367	738	0
11429	734	0
11429	735	0
11429	736	0
11429	737	0
11429	738	0
11435	734	0
11435	735	0
11435	736	0
11435	737	0
11435	738	0
11457	734	0
11457	735	0
11457	736	0
11457	737	0
11457	738	0
11463	734	0
11463	735	0
11463	736	0
11463	737	0
11463	738	0
11477	734	0
11477	735	0
11477	736	0
11477	737	0
11477	738	0
11507	734	0
11507	735	0
11507	736	0
11507	737	0
11507	738	0
11508	734	0
11508	735	0
11508	736	0
11508	737	0
11508	738	0
11510	734	0
11510	735	0
11510	736	0
11510	737	0
11510	738	0
11529	734	0
11529	735	0
11529	736	0
11529	737	0
11529	738	0
11530	734	0
11530	735	0
11530	736	0
11530	737	0
11530	738	0
11564	734	0
11564	735	0
11564	736	0
11564	737	0
11564	738	0
11821	734	0
11821	735	0
11821	736	0
11821	737	0
11821	738	0
11823	734	0
11823	735	0
11823	736	0
11823	737	0
11823	738	0
11953	734	0
11953	735	0
11960	734	0
11960	735	0
11960	736	0
11960	737	0
11960	738	0
12061	734	9.26
12061	735	7.63
12061	736	27.42
12061	737	28.16
12061	738	80.26
12078	734	0
12078	735	0
12078	736	0
12078	737	0
12078	738	0
12087	734	2.02
12087	735	0
12087	736	0
12087	737	0
12087	738	0
12099	734	0.01
12099	735	0.02
12120	734	12.51
12120	735	13.56
12120	736	67.72
12120	737	74.6
12120	738	322.44
12132	734	0
12132	735	0
12132	736	0
12132	737	0
12132	738	0
12142	734	42.13
12142	735	26.03
12142	736	101.43
12142	737	84.23
12142	738	223.01
12147	734	0
12147	735	0
12147	736	0
12147	737	0
12147	738	0
12151	734	13.26
12151	735	10.51
12151	736	42.24
12151	737	37.93
12151	738	122.46
12155	734	5.65
12155	735	7.19
12155	736	22.05
12155	737	5.41
12155	738	20.02
14003	734	0.82
14003	735	0.16
14003	736	0.34
14003	737	0
14003	738	0
14096	734	12.3
14096	735	2.43
14096	736	2.51
14096	737	3.77
14096	738	8.6
14097	734	15.16
14097	735	2.64
14099	734	18.33
14100	734	11.41
14106	734	0.28
14106	735	0.07
14106	736	0.04
14108	734	10.97
14209	734	0
14209	735	0
14209	736	0
14209	737	0
14209	738	0
14242	734	2.04
14242	735	1.59
14242	736	4.58
14242	737	3.84
14242	738	8.33
14278	734	2.6
14278	735	0.7
14278	736	0.95
14278	737	0
14278	738	0
14317	734	20.6
14317	735	8.77
14317	736	12.1
14317	737	0.77
14355	734	2.98
14355	735	0.37
14355	736	0.35
14355	737	0
14355	738	0
14431	734	2.23
14602	734	14.69
16001	734	19.4
16001	735	18.1
16001	736	80
16001	737	75.7
16001	738	252.9
16014	734	5.2
16014	735	0
16014	736	0
16014	737	0
16014	738	0
16032	734	26.4
16032	735	29.1
16032	736	117.7
16032	737	105.3
16032	738	263.4
16037	734	0
16037	735	0
16037	736	0
16037	737	0
16037	738	0
16042	734	19.22
16042	735	16.18
16042	736	125.9
16042	737	135.62
16042	738	459.63
16043	734	4.4
16043	735	3.91
16043	736	10.52
16043	737	4.32
16043	738	1.41
16049	734	0.03
16049	735	0
16052	734	0
16052	735	0
16052	736	0
16052	737	0
16052	738	0
16056	734	0
16056	735	0
16062	734	18.92
16062	735	21.58
16062	736	47.9
16062	737	9.81
16062	738	32.66
16069	734	1.2
16069	735	0.11
16069	736	0.03
16085	734	0
16085	735	0
16085	736	0
16085	737	0
16085	738	0
16087	734	33.2
16087	735	48.8
16087	736	48.1
16087	737	0
16087	738	0
16089	734	4.07
16089	735	3.67
16089	736	2.77
16089	737	0
16089	738	0
16098	734	3
16098	735	8.14
16098	736	0
16098	737	0
16098	738	0
16108	734	0
16108	735	0
16108	736	0
16108	737	0
16108	738	0
19078	734	162.84
19078	735	123.63
19078	736	358.4
19078	737	240.22
19078	738	562.75
19081	734	2.56
19081	735	1.38
19120	734	22.82
19120	735	16.04
19120	736	51.09
19120	737	29.83
19120	738	55.53
19165	734	277.13
19165	735	195.73
19165	736	419.05
19165	737	925.18
19165	738	2435.11
19166	734	96.47
19166	735	29.24
19166	736	39.82
19166	737	365.53
19166	738	720.35
19905	734	61.04
19905	735	39.11
19905	736	159.73
19905	737	93.01
19905	738	316.24
20004	734	33.64
20004	735	30.56
20004	736	27.2
20004	737	0
20004	738	0
20008	734	5.79
20008	735	1.59
20011	734	46.51
20031	734	0
20031	735	0
20031	736	0
20031	737	0
20031	738	0
20033	734	0
20033	735	0
20033	736	0
20033	737	0
20033	738	0
20036	734	0
20036	735	0
20036	736	0
20036	737	0
20038	734	0
20038	735	0
20038	736	0
20038	737	0
20038	738	0
20044	734	0
20044	735	0
20044	736	0
20044	737	0
20044	738	0
20064	734	0
20064	735	0
20064	736	0
20064	737	0
20064	738	0
20067	734	36.06
20067	735	46.21
20067	736	228.13
20067	737	293.78
20067	738	1346.28
20077	734	0
20077	735	0
20077	736	0
20077	737	0
20077	738	0
20080	734	0
20080	735	0
20080	736	0
20080	737	0
20080	738	0
20088	734	2.14
20088	735	3.29
20088	736	5.32
20130	734	15.77
20130	735	22.02
20130	736	5.3
20130	737	0
20130	738	0
35130	734	0
35130	735	0
35130	736	0
35130	737	0
35130	738	0
35131	734	0
35131	735	0
35131	736	0
35131	737	0
35131	738	0
35132	734	0
35132	735	0
35132	736	0
35132	737	0
35132	738	0
35138	734	1.98
35138	735	1.49
35138	736	4.62
35138	737	3.19
35138	738	3.5
35192	734	0
35192	735	0
35192	736	0
35192	737	0
35192	738	0
35193	734	0
35193	735	0
35193	736	0
35193	737	0
