Food Name	ORAC Value (Per 100g)
Golden Delicious Apples With Skin, Raw	2670
Golden Delicious Apples Without Skin, Raw	2210
Golden Kiwi (Yellow Kiwi), Raw	1210
Golden Raisins, Seedless	10450
Gooseberries, Raw	3332
Gotu Kola Leaves, Dried	69978
Granny Smith Apples With Skin, Raw	3898
Grape Seed Extract	108130
Green Beans / String Beans, Canned	290
Green Beans / String Beans, Raw	799
Green Bell Peppers, Raw	935
Green Kale, Raw	1770
Green Leaf Lettuce, Raw	1532
Green Olives	1010
Green Pears With Skin/Peel, Raw	2201
Green Peas, Canned	120
Green Peas, Fresh & Raw	260
Green Peas, Frozen & Unprepared	600
Green Peppers, Sauteed	615
Green Split Peas, Raw	524
Green Tea, Bottled	520
Green Tea, Brewed	1253
Grilled Chicken Drumstick With Skin - Meat	440
Ground Cloves Spice	290283
Ground Flaxseed	1130
Guinness Stout Beer	210
Hamburger Meat Patty, Fried	110
Hass Avocados, Raw	1922
Hazelnuts or Filberts	9645
Heineken Lager Beer	130
Hibiscus Tea, Brewed	6990
Honey	130
Honey Vinegar / Honey Wine Vinegar	225
Honeydew Melon, Raw	253
Hot Dogs - Meat	300
Iceberg Lettuce / Crisphead Lettuce, Raw	438
Indian Gooseberry (Amla Berries), Dried	261500
Instant White Rice, Cooked	30
Jalapeno Peppers, Dried	8250
Japanese Persimmon Fruit, Dried	12307
Japanese Persimmon Fruit, Raw	742
Japanese White Sweet Potato / Murasaki, Raw	272
Jello / Gelatin, Strawberry Flavor	0
Kalamata Olives	3130
Kellogg's Pop Tarts, Frosted Strawberry Flavor	150
Ketchup / Catsup	578
Kiwi Fruit, Raw	862
Krispy Kreme Donuts / Doughnuts, Plain	160
Lacinato Kale (Dinosaur, Tuscan, Black Kale), Cooked	1773
Leeks (Bulb w/ Lower Leaves), Raw	569
Lemon Balm Leaves, Raw	5997
Lemon Juice, Raw	1225
Lemons Without Peel, Raw	1346
Lentils, Raw	7282
Licorice Root, Dried	102945
Lima Beans, Canned	243
Lime Juice, Raw	823
Limes, Raw	82
Lingonberry (Cowberries), Raw	20300
Little Caesar's Deep Dish Cheese Pizza	180
Longan Fruit, Raw	330
Lotus Root, Raw	2177
Low Fat Tortilla Chips Made With Olestra	1549
Low-Fat Granola With Raisins	2294
Lucuma Fruit Powder, Pulp Extract	70
Lucuma Fruit, Nut / Seed	129
Lucuma Fruit, Peel / Skin	816
Lychee Fruit	540
Maca Powder, Raw	6100
Macadamia Nuts, Dry Roasted	1695
Macambo Beans, Raw	24300
Mackerel Fish, Fried	120
Maitake Mushrooms, Raw	669
Makiang, Raw	3695
Maloud, Raw	2611
Mangos, Raw	1300
Mangosteen, Raw	2510
Maple Syrup	590
Maqui Berry Powder	27600
Marjoram Spice, Dried (Sweet Marjoram)	92310
Marjoram, Fresh (Sweet Marjoram)	27297
McDonald's Crispy Chicken Sandwich, Fried - Meat	180
Medjool Dates	2387
Milk Chocolate Candies	7519
Milk Chocolate Syrup, Reduced Fat	1263
Milk, 1% Fat	40
Milk, 2% Fat	50
Miller Lite Beer	90
Mistletoe, Dried	30537
Mizuna Mustard Greens	122
Moringa Stenopetala (Cabbage Tree), Dried	11900
Moringa Stenopetala (Cabbage Tree), Fresh	3700
Mulberries, Fresh	6130
Nachos - Tortilla Chips With Cheese	1858
Navel Oranges, Raw	1819
Navy Beans, Raw	1861
Nectarines, Raw	919
Noni Fruit, Raw	800
Nutmeg Spice, Ground	69640
Oat Bran Cereal, Ready To Eat	2183
Oatnut Bread	1318
Old Fashioned Oats / Oatmeal, Uncooked	1708
Olive Oil w/ Basil (Home Prepared)	684
Olive Oil w/ Garlic & Hot Red Peppers (Home Prepared)	219
Olive Oil w/ Garlic (Home Prepared)	557
Olive Oil w/ Parsley (Home Prepared)	766
Onion Powder Spice	4289
Onions, Raw	913
Orange Juice Carton / Canned / Bottle	703
Orange Juice, Raw	726
Orange Peppers, Raw	984
Oranges, All Varieties, Raw	2103
Oregano Spice, Dried	175295
Oregano, Fresh	13970
Oreo Cookies, Chocolate w/ Vanilla Creme Filling	1840
Oyster Mushrooms, Raw	664
Papa John's Cheese Pizza, Original Crust	300
Papa John's Pepperoni Pizza, Original Crust	240
Papaya, Raw	300
Paprika Spice	21932
Parsley Spice, Dried	73670
Parsley, Raw	1301
Parsnips	110
Peach Babyfood	6257
Peach Babyfood, Junior Version	2551
Peaches, Raw	1922
Peanut Butter, Smooth Style	3432
Peanut Oil	106
Peanuts, Raw (All Varieties)	3166
Pear Juice, All Varieties	704
Pecans, Nuts	17940
Peppermint Leaves, Dried	160820
Peppermint, Fresh	13978
Pine Nuts, Dried	720
Pineapple Juice, Canned & Unsweetened	568
Pineapple, Traditional Varieties, Raw	562
Pink & Red Grapefruit, Raw	1548
Pink Beans, Raw	8320
Pinto Beans, Boiled	904
Pinto Beans, Raw	8033
Pistachios, Nuts, Raw	7675
Pizza Hut Cheese Pizza, Pan Crust	170
Plain Instant Oatmeal, Fortified, Dry	2308
Plum Tomatoes, Raw	546
Plums, Raw	6100
Pomegranate Juice, Bottled	2681
Pomegranates, Raw	4479
Popcorn, Air-Popped	1743
Poppy Seeds Spice	481
Portobello Mushrooms, Raw	968
Powdered Chocolate Drink (Nesquik Cocoa Mix)	485
Prawns, Peeled and Cooked - Seafood	240
Prune Juice, Canned	2036
Prunes (Dried Plums), Uncooked	8059
Pumpernickel Bread	1963
Pumpkin, Raw	483
Purple Cauliflower, Cooked	2210
Purple Cauliflower, Raw	2084
Purple Corn, Raw	10800
Purple Sweet Potato, Raw	2720
Quaker Oat Life Cereal	1517
Quick Oats / Oatmeal, Uncooked	2169
Quinoa, White / Ivory, Uncooked	3200
Radishes, Raw	1750
Raisins, Seedless	3406
Rambutan Fruit	160
Raw Agave (Southwest)	1294
Raw Pineapple, All Varieties	385
Red Anjou Pears, Raw	1746
Red Baron Cheese Pizza, Frozen	190
Red Bull Energy Drink	0
Red Cabbage, Boiled	3145
Red Cabbage, Raw	2496
Red Cayenne Pepper Spice	19671
Red Currants, Raw	3387
Red Delicious Apples With Skin, Raw	4275
Red Delicious Apples Without Skin, Raw	2936
Red Dragon Fruit / Pitaya, Fresh	760
Red Grape Juice	1788
Red Grapes, Raw	1837
Red Guava, Fleshed	1990
Red Kidney Beans, Raw	8606
Red Leaf Lettuce, Raw	2426
Red Merlot Wine	2670
Red Onions, Raw	1521
Red Peppers, Raw	821
Red Peppers, Sauteed	847
Red Potatoes With Skin, Baked	1326
Red Potatoes With Skin, Raw	1098
Red Quinoa, Uncooked	3900
Red Raspberries, Raw	5065
Red Rice, Uncooked	3598
Red Sorghum Bran	71000
Red Sorghum Grain	14000
Red Swiss Chard, Raw	1108
Red Wine (Table)	3607
Red Wine Vinegar	410
Red Zinfandel Wine	2400
Reishi Mushrooms, Dried	9244
Rice Bran, Crude	24287
Romaine Lettuce, Raw	1017
Romanesco / Green Cauliflower / Broccoflower, Cooked	1387
Romanesco / Green Cauliflower / Broccoflower, Raw	136
Rooibos Tea, Brewed	610
Rose Hips	96150
Rose Wine	1005
Rosemary Leaves, Fresh	11070
Rosemary Spice, Dried	165280
Russet Potatoes With Skin, Baked	1680
Russet Potatoes With Skin, Raw	1322
Sacha Inchi / Saviseed	800
Safflower Oil	1380
Saffron Spice, Whole	20580
Sage Spice, Ground	119929
Sage, Fresh	32004
Salmon Fish, Raw	30
Salsa Jar or Canned Version	1001
Savory, Fresh	9465
Savoy Cabbage, Boiled	2050
Semi-Sweet Chocolate Candies	18053
Serviceberry / Saskatoon Berries / Juneberry, Raw	15000
Shiitake Mushrooms, Dried	752
Shredded Wheat Cereal, Plain w/o Added Sugar	1303
Sorghum Bran, High-Tannin	240000
Sorghum Grain, High-Tannin	45400
Soursop / Guanabana / Graviola, Pulp	1451
Soybeans, Raw	5409
Spearmint, Fresh	1270
Spinach, Raw	1513
Spirulina Powder Capsules	5970
Sprouted Alfalfa Seeds, Raw	1510
Sprouted Radish Seeds, Raw	2184
Sprouted Soybeans, Raw	962
Star Anise Spice	11300
Strawberries, Raw	4302
Strawberry Juice	1002
Sumac Bran, Raw	312400
Sumac Grain, Raw	86800
Sweet Cherries, Raw	3747
Sweet Corn Kernels, Frozen & Unprepared	522
Sweet Corn, Canned	413
Sweet Corn, Raw	728
Sweet Onions, Raw	614
Sweet Potato Without Skin, Cooked / Boiled	766
Sweet Potato, Baked In Skin	2115
Sweet Potato, Raw	902
Szechuan Pepper Spice, Dried	118400
Tamarind	3500
Tangerines, Mandarin Oranges, Raw	1627
Tarragon, Fresh	15542
Tea Leaves, Dried	62714
Thyme Spice, Dried	157380
Thyme, Fresh	27426
Tilapia Fish Fillets, Baked	140
Toasted Oatmeal Cereal (Cheerios)	2175
Toasted Oatmeal Squares Cereal	2143
Tofu	90
Tomato Juice, Canned or Bottled	486
Tomatoes, Red Ripe Variety, Raw	387
Tombstone Cheese Pizza, Frozen	160
Tony's Cheese Pizza, Frozen	80
Totino's Thin Crust Cheese Pizza, Frozen	100
Triphala Powder	706250
Turkey Hot Dog, Barbecued - Meat	760
Turkey Hot Dogs / Frankfurter - Meat	610
Turmeric Spice, Ground	127068
Unsweetened Cranberry Juice	1452
Vanilla Bean Spice, Dried	122400
Vegetable Juice Cocktail, Canned or Bottled	548
Watermelon, Raw	142
Wendy's Frosty, Classic Chocolate Flavor	160
Wendy's Grilled Chicken Sandwich - Meat	150
White Asparagus, Raw	296
White Chia Seeds, Raw	7000
White Cranberry Juice	232
White Dragon Fruit / Pitaya, Fresh	300
White Grape Juice	793
White Grapefruit Juice, Raw	1238
White Grapes / Green Grapes, Raw	1018
White Guava, Fleshed	2550
White Onions, Raw	863
White Pepper Spice	40700
White Potatoes With Skin, Baked	1138
White Potatoes With Skin, Raw	1058
White Raisins (40% Moisture)	4188
White Sorghum Bran	6400
White Sorghum Grain	2200
White Tea, Bottled	264
White Wine	392
White, Red, & Pink Grapefruit, Raw	1640
Whole Flaxseed	800
Whole Grain Bread (Incl. Multigrain)	1421
Whole Grain Wheat	380
Wild Bilberries, Raw	7570
Wild Blueberries, Raw	9621
Yaupon Holly Leaves (Cassina)	98700
Yellow Guava, Raw	1422
Yellow Mustard Seed Spice	29257
Yellow Onions, Sauteed	1220
Yellow Peppers, Grilled	694
Yellow Peppers, Raw	1043
Yellow Split Peas, Raw	741
Yerba Mate Tea, Brewed	1704
Zucchini Summer Squash With Skin, Raw	180
