NDB_No	Nutr_No	Isfl_Val (mg Per 100g)
25013	710	0.1
25013	711	0
25013	712	0
25013	713	0.1
25017	710	1.8
25017	711	3.27
25017	713	5.07
25017	714	0
25017	715	0
25017	716	0.087
42178	710	5.5
42178	711	11.3
42178	713	16.8
42178	714	0
42237	710	0
42237	711	0
42237	713	0
42299	710	0
42299	711	0
42299	712	0
42299	713	0
43130	710	5.78
43130	711	6.43
43130	712	0.06
43130	713	12.27
43212	710	64.36666667
43212	711	45.76666667
43212	712	8.333333333
43212	713	118.5
43476	710	5.7
43476	711	9.4
43476	712	1.2
43476	713	16.3
43528	710	0.2
43528	711	0.35
43528	712	0
43528	713	0.6
97068	710	0
97068	711	0
97068	713	0
97069	710	0
97069	711	0
97069	713	0
97070	710	0
97070	711	0
97070	713	0
99001	710	0.008
99001	711	0.01
99001	713	0.018
99001	714	0
99001	715	0.0024
99001	716	0
99002	710	29.84042857
99002	711	39.996
99002	713	69.83642857
99003	710	0
99003	711	0
99003	712	0
99003	713	0
99008	710	0
99008	711	1.29
99008	713	1.29
99008	714	0
99008	715	0.21
99008	716	0
99009	710	0.035
99009	711	0.21
99009	713	0.245
99009	714	0.5955
99009	715	3.14995
99009	716	14.07885
99010	710	0.002
99010	711	0.002
99010	713	0.004
99010	714	0
99010	715	0.005
99010	716	0
99014	710	1.897
99014	711	2.8125
99014	713	4.7135
99018	710	40.0725
99018	711	62.175
99018	712	10.9
99018	713	109.5141667
99019	710	0
99019	711	0.64
99019	713	0.64
99019	714	1.26
99019	715	0
99019	716	6.13
99020	710	0.018
99020	711	0.029
99020	713	0.047
99020	714	0.0359
99020	715	0.0075
99020	716	0
99021	710	0
99021	711	0
99021	713	0
99026	710	0
99026	711	0.155
99026	713	0.155
99026	714	0
99026	715	0
99026	716	0.0656
99029	710	0
99029	711	0
99029	713	0
99030	710	29.08931034
99030	711	67.56684483
99030	712	13.09571429
99030	713	99.81718966
99034	710	12.18
99034	711	21.12
99034	712	2.3
99034	713	34.68
99035	710	37.4653
99035	711	91.2222
99035	712	14.2345
99035	713	131.5344
99036	710	21.74588889
99036	711	39.56688889
99036	712	1.124125
99036	713	62.312
99038	710	19.71375758
99038	711	17.79339394
99038	712	6.05
99038	713	38.24048485
99038	715	0
99038	716	0
99040	710	41.32322581
99040	711	55.09032258
99040	713	108.0812903
99040	714	0
99040	715	0
99040	716	0
99041	710	1.828571429
99041	711	2.114285714
99041	712	2.928571429
99041	713	6.871428571
99042	710	5.79325
99042	711	11.14375
99042	713	25.7192
99043	710	2.7514
99043	711	5.1
99043	713	7.8514
99044	710	0
99044	711	0
99044	713	0
99045	710	18.8
99045	711	21.683
99045	712	7.896
99045	713	44.431
99047	710	0
99047	711	0
99047	712	0
99047	713	0
99047	715	0.0001
99047	716	0.0001
99048	710	0
99048	711	0
99048	713	0
99049	710	0.9
99049	711	3.7
99049	712	3.9
99049	713	8.5
99052	710	0
99052	711	0
99052	713	0
99053	710	80.03142105
99053	711	101.3950526
99053	712	15.43277778
99053	713	196.047
99053	715	0
99053	716	0
99054	710	1.14
99054	711	2.6
99054	712	2.28
99054	713	6.02
99056	710	1.5
99056	711	0.8
99056	712	4.1
99056	713	6.4
99060	710	38.248
99060	711	52.80972727
99060	712	4.935125
99060	713	94.64690909
99063	710	0.14
99063	711	0.4
99063	713	0.54
99064	710	0.21
99064	711	0.33
99064	712	0.1
99064	713	0.565
99065	710	0.03
99065	711	0.31
99065	713	0.34
99070	710	0
99070	711	0
99070	712	0
99070	713	0
99070	715	0.0001
99070	716	0.0003
99072	710	26.71
99072	711	27.45
99072	713	54.16
99073	710	0
99073	711	0.01
99073	712	0
99073	713	0.01
99073	715	0.0006
99073	716	0.0001
99080	710	67.68567406
99080	711	89.41876457
99080	712	20.01687959
99080	713	172.5477457
99081	710	6.4
99081	711	19.6
99081	712	3
99081	713	29
99084	710	8
99084	711	12.75
99084	712	1.95
99084	713	22.7
99085	710	12.8
99085	711	16.15
99085	712	2.4
99085	713	31.35
99086	710	8.59
99086	711	20.65
99086	713	29.24
99092	710	45.95142857
99092	711	74.32557692
99092	712	9.010833333
99092	713	130.6518367
99092	714	0
99092	715	0
99092	716	0
99093	710	78.85968153
99093	711	89.31780255
99093	712	18.76393258
99093	713	178.8138854
99093	714	0
99093	715	0
99093	716	0
99096	710	17.80909091
99096	711	25.15454545
99096	712	2.685714286
99096	713	44.67272727
99097	710	15.58888889
99097	711	16.01111111
99097	712	2.766666667
99097	713	33.90555556
99100	710	61.69586667
99100	711	60.06866667
99100	712	7.0656
99100	713	128.8301333
99100	714	0
99100	715	0
99100	716	0
99105	710	0.217
99105	711	0.299
99105	712	0.051
99105	713	0.567
99106	710	0.011
99106	711	0.034
99106	713	0.045
99106	716	0.029
99107	710	0.005
99107	711	0.0175
99107	713	0.0225
99107	716	0.032
99111	710	0.4
99111	711	0.6
99111	712	0
99111	713	1
99337	710	0
99337	711	0
99337	713	0
99395	710	0
99395	711	0
99395	713	0
99423	710	0.01
99423	711	0.03
99423	712	0
99423	713	0.04
99423	715	0.0006
99423	716	0.0001
99457	714	0
99457	715	0
99457	716	0
99468	710	0.5
99468	711	0.5
99468	712	0.05
99468	713	1.05
99469	710	0
99469	711	0
99469	713	0
99470	710	0
99470	711	0
99470	713	0
99471	710	1.8
99471	711	4.4
99471	712	1.7
99471	713	7.9
99472	710	5.75
99472	711	8.7
99472	712	3.5
99472	713	17.95
99474	710	0.155
99474	711	0.31
99474	712	0
99474	713	0.47
99474	714	0
99474	715	0.94595
99474	716	0.0019
99475	710	0
99475	711	0
99475	712	0
99475	713	0
99476	710	0.45
99476	711	0.35
99476	712	0.05
99476	713	0.9
99477	710	0
99477	711	0
99477	713	0
99478	710	0
99478	711	0.01
99478	713	0.01
99479	710	0.01
99479	711	0.02
99479	713	0.03
99480	710	0
99480	711	0
99480	713	0
99481	710	0
99481	711	0
99481	713	0
99482	710	0
99482	711	0
99482	713	0
99483	710	0.01
99483	711	0.01
99483	713	0.02
99484	710	0
99484	711	0
99484	713	0
99485	710	1.4
99485	711	2.575
99485	712	0.275
99485	713	4.325
99486	710	0.287276
99486	711	0.297916667
99486	712	0.003333333
99486	713	0.586303778
99486	714	0
99486	715	0
99486	716	0.013333333
99488	710	53.37545455
99488	711	57.98318182
99488	712	11.70538462
99488	713	118.2754545
99488	714	0
99488	715	0
99488	716	0
99489	710	0
99489	711	0.01
99489	713	0.01
99490	710	0
99490	711	0
99490	713	0
99491	710	0.425
99491	711	0.375
99491	712	0.075
99491	713	0.825
99492	710	0.054
99492	711	0.07
99492	712	0
99492	713	0.122
99492	714	0
99492	715	0
99492	716	0
99493	710	0.04
99493	711	0.05
99493	713	0.09
99494	710	0.78
99494	711	0.725
99494	712	0.03
99494	713	1.515
99494	714	0
99494	715	0.01645
99494	716	0.036
99495	710	9.148
99495	711	8.418
99495	712	0.917692308
99495	713	18.0432
99496	710	0
99496	711	0
99496	713	0
99497	710	7.499166667
99497	711	5.464166667
99497	712	0.784166667
99497	713	13.74833333
99498	710	6.6
99498	711	3.1
99498	713	9.7
99499	710	5.5
99499	711	1
99499	713	6.5
99500	710	32.9
99500	711	39.9
99500	713	72.8
99501	710	0
99501	711	0
99501	712	0
99501	713	0
99502	710	0
99502	711	0
99502	712	0
99502	713	0
99502	715	0.0001
99502	716	0
99503	710	5.96
99503	711	4.035
99503	712	0.53
99503	713	10.255
99503	714	0
99503	715	0.00085
99503	716	0.15265
99504	710	3.5
99504	711	5.633333333
99504	712	0
99504	713	9.133333333
99505	710	0
99505	711	0
99505	713	0
99506	710	0.6
99506	711	1
99506	712	0.1
99506	713	1.7
99507	710	0
99507	711	0.1
99507	712	0
99507	713	0.1
99508	710	0.226666667
99508	711	0.21
99508	712	0
99508	713	0.47
99508	714	0
99508	715	0
99508	716	0
99509	710	1.3
99509	711	3.22
99509	713	4.52
99509	714	0.05
99509	715	0
99509	716	0.2425
99510	710	13.772
99510	711	16.594
99510	712	2.8
99510	713	33.166
99510	715	0.0015
99510	716	0.0005
99511	710	5.4
99511	711	10.3
99511	713	15.7
99511	714	0
99512	710	0
99512	711	0
99512	712	0
99512	713	0
99512	715	0.0002
99512	716	0.0001
99513	710	0
99513	711	0
99513	713	0
99514	710	0
99514	711	0
99514	712	0
99514	713	0
99514	715	0
99514	716	0
99515	710	0.736666667
99515	711	0.676666667
99515	712	0.1
99515	713	1.48
99515	714	0
99515	715	0
99515	716	0.0888
99516	710	0.16
99516	711	0.14
99516	713	0.3
99516	714	0
99516	715	0
99516	716	0.05
99517	710	0.285
99517	711	0.28
99517	712	0
99517	713	0.565
99518	710	0.09
99518	711	0.21
99518	712	0
99518	713	0.3
99518	715	0.0017
99518	716	0.0006
99519	710	0
99519	711	0
99519	712	0
99519	713	0
99519	715	0.0001
99519	716	0
99520	710	26.15
99520	711	25.15
99520	712	6.1
99520	713	52.825
99521	710	0
99521	711	0.01
99521	712	0
99521	713	0.01
99521	715	0.0003
99521	716	0
99522	710	0
99522	711	0
99522	713	0
99523	710	0.3
99523	711	0.23
99523	713	0.52
99524	710	0.11
99524	711	0.22
99524	713	0.34
99526	710	0
99526	711	0
99526	713	0
99527	710	0
99527	711	0
99527	713	0
99528	710	4.9
99528	711	5.9
99528	712	0.7
99528	713	11.5
99529	710	10.26285714
99529	711	10.82857143
99529	712	1.346
99529	713	22.05285714
99529	715	0.0009
99529	716	0.0007
99531	710	0.0075
99531	711	0.01
99531	713	0.0175
99532	710	0.02
99532	711	0.04
99532	713	0.055
99533	710	0.06
99533	711	0.14
99533	713	0.21
99533	714	0.05
99533	715	0.05
99533	716	0.05
99534	710	4.866666667
99534	711	9.133333333
99534	712	0.666666667
99534	713	14.66666667
99535	710	7.8
99535	711	8.8
99535	712	2.1
99535	713	18.7
99536	710	0
99536	711	0
99536	712	0
99536	713	0
99538	710	13.3
99538	711	13
99538	712	0.6
99538	713	26.9
99539	710	8.1
99539	711	8.4
99539	712	1.2
99539	713	17.7
99540	710	7.28
99540	711	8.22
99540	712	1.28
99540	713	16.79
99541	710	7.5
99541	711	5.6
99541	713	13.1
99542	710	0
99542	711	0
99542	713	0
99543	710	0.1
99543	711	0.1
99543	712	0
99543	713	0.2
99544	710	0.15
99544	711	0.25
99544	712	0
99544	713	0.45
99545	710	0
99545	711	0
99545	712	0
99545	713	0
99546	710	0
99546	711	0
99546	712	0
99546	713	0
99547	710	1.4
99547	711	1.1
99547	712	0.2
99547	713	2.7
99548	710	0
99548	711	0
99548	712	0
99548	713	0.1
99549	710	0.04
99549	711	0
99549	713	0.04
99549	714	0
99549	715	0
99549	716	0
99550	710	0.61
99550	711	0.58
99550	713	1.19
99551	710	0.01
99551	711	0.015
99551	713	0.02
99553	710	0.016666667
99553	711	0.01
99553	713	0.026666667
99554	710	0.15
99554	711	0.2
99554	712	0
99554	713	0.35
99555	710	2.6
99555	711	13.1
99555	712	0.2
99555	713	15.9
99556	710	0
99556	711	0
99556	712	0
99556	713	0
99557	710	3
99557	711	2.7
99557	712	0.3
99557	713	6
99559	710	2.8
99559	711	3.1
99559	713	5.9
99559	716	0
99560	710	27.975
99560	711	42.9125
99560	712	10.7625
99560	713	81.65
99561	710	0
99561	711	0
99561	713	0
99562	710	0
99562	711	0
99562	713	0
99563	710	1.1
99563	711	1.7
99563	712	0.1
99563	713	2.9
99564	710	7
99564	711	6.2
99564	712	0.9
99564	713	14
99565	710	11.8
99565	711	13.6
99565	712	1.2
99565	713	26.6
99566	710	0
99566	711	0
99566	713	0.01
99567	710	0
99567	711	0
99567	713	0
99568	710	40.85
99568	711	42.45
99568	713	83.3
99569	710	0.23
99569	711	0.24
99569	713	0.47
99571	710	11
99571	711	10
99571	713	21
99571	714	833
99571	715	1322
99572	710	4.835809141
99572	711	6.069876543
99572	712	0.931047726
99572	713	10.73110711
99573	710	0.75
99573	711	2.7
99573	712	0.3
99573	713	3.75
99574	710	39.87684211
99574	711	65.64421053
99574	712	17.12294118
99574	713	120.8415789
99575	710	45.44187
99575	711	39.77596591
99575	712	22.3725
99575	713	103.5619716
99576	710	61.32662045
99576	711	86.32604135
99576	712	13.33328084
99576	713	159.9757696
99576	714	0
99576	715	0
99576	716	0
16144	710	0
16144	711	0
16144	712	0
1124	710	0
1124	711	0
1124	712	0
1125	710	0.02
1125	711	0.01
1125	712	0
1123	712	0
